stage_order,stage,count,available_from,notes
1,Setups generated by cash engine rerun,23,ENGINE_RERUN,"Sum of valid BUY/SELL setups emitted by process_setup + format_calculate_setup_response at each order timestamp, post RR filter."
2,Suppressed at Execute-TF freshness gate G4,4,ENGINE_RERUN_ZONE_PARSE,"Computed from selected zone retest_count rule: BZ/SZ/GSZ limit=0, GDZ limit=1. Count is based on rerun/persisted order timestamps."
3,Suppressed at circuit-limit gate,0,ENGINE_RERUN_TEXT_SCAN,"Counts rerun payloads containing circuit/lower_ckt/upper_ckt text. If your engine does not emit circuit gate decisions, this remains 0."
4,Suppressed — other,30,ENGINE_RERUN,"engine_errors=0, price_or_side_mismatch=30, no_generated_setup=20."
5,GTT Single entries placed / persisted,43,ORDER_MASTER,order_master rows are treated as persisted/sent entry orders. Exact broker placement needs broker/GTT table columns.
6,Filled — entry confirmed,17,ORDER_MASTER,is_trade_started=1 OR entry_timestamp exists OR order_status.entry_hit=True.
7,Filled with OCO confirmed,0,ORDER_STATUS_IF_PRESENT,"oco_yes=0, oco_no=0, oco_unknown_for_filled=17. order_master has no native OCO column."
8,Completed,6,ORDER_MASTER,completed_on exists OR order_status status is success/failed.
9,Exited by Target,2,ORDER_STATUS,Derived from order_status.status/reason.
10,Exited by SL,4,ORDER_STATUS,Derived from order_status.status/reason.
11,Still pending,11,ORDER_STATUS,Derived from order_status.status=pending.
12,Entry not triggered,0,ORDER_STATUS,Derived from order_status.status=not_triggered.
